,URL
91,https://www.jobstreet.com.sg/en/job/workforce-data-analyst-6621533?fr=21&src=16&srcr=16
92,https://www.jobstreet.com.sg/en/job/data-management-analyst-6621439?fr=21&src=16&srcr=16
93,https://www.jobstreet.com.sg/en/job/quality-data-analyst-ew-6620913?fr=21&src=16&srcr=16
94,https://www.jobstreet.com.sg/en/job/seniordata-analyst-data-science-team-6621270?fr=21&src=16&srcr=16
95,https://www.jobstreet.com.sg/en/job/business-application-analyst-wms-finance-data-management-6620879?fr=21&src=16&srcr=16
96,https://www.jobstreet.com.sg/en/job/data-analyst-kycaml-6620470?fr=21&src=16&srcr=16
97,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-4500-for-1-year-serangoon-6601441?fr=21&src=16&srcr=16
98,https://www.jobstreet.com.sg/en/job/data-analyst-4000-contract-6588160?fr=21&src=16&srcr=16
99,https://www.jobstreet.com.sg/en/job/data-analyst-hadoopbig-data-govt1yr-cont-6k-6620221?fr=21&src=16&srcr=16
100,https://www.jobstreet.com.sg/en/job/data-analystresearcher-up-to-55k-basictop-listed-it-mnc-permgd-enveast-6617138?fr=21&src=16&srcr=16
101,https://www.jobstreet.com.sg/en/job/intern-data-analyst-63258-6620023?fr=21&src=16&srcr=16
102,https://www.jobstreet.com.sg/en/job/business-n-data-analyst-procurement-6598411?fr=21&src=16&srcr=16
103,https://www.jobstreet.com.sg/en/job/data-analystscientist-008fs-6597804?fr=21&src=16&srcr=16
104,https://www.jobstreet.com.sg/en/job/manager-senior-data-analyst-data-governance-framework-policies-6597516?fr=21&src=16&srcr=16
105,https://www.jobstreet.com.sg/en/job/data-analyst-6586504?fr=21&src=16&srcr=16
106,https://www.jobstreet.com.sg/en/job/data-insights-analyst-6584954?fr=21&src=16&srcr=16
107,https://www.jobstreet.com.sg/en/job/master-data-analyst-salary-3500-mnc-ang-mo-kio-6618965?fr=21&src=16&srcr=16
108,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6618958?fr=21&src=16&srcr=16
109,https://www.jobstreet.com.sg/en/job/business-analyst-data-analytics-6618860?fr=21&src=16&srcr=16
110,https://www.jobstreet.com.sg/en/job/data-analyst-market-research-and-analytics-6583623?fr=21&src=16&srcr=16
111,https://www.jobstreet.com.sg/en/job/data-analyst-customer-relation2-months-contract-6581783?fr=21&src=16&srcr=16
112,https://www.jobstreet.com.sg/en/job/executivesenior-engineer-system-reliability-and-data-analyst-6581761?fr=21&src=16&srcr=16
113,https://www.jobstreet.com.sg/en/job/temp-data-analyst-4000-contract-6581737?fr=21&src=16&srcr=16
114,https://www.jobstreet.com.sg/en/job/data-base-analyst-up-to-4000-2-months-central-6581619?fr=21&src=16&srcr=16
115,https://www.jobstreet.com.sg/en/job/data-analyst-2-months-contract-4000-liang-court-6581539?fr=21&src=16&srcr=16
116,https://www.jobstreet.com.sg/en/job/data-analyst-finance-contract-6617547?fr=21&src=16&srcr=16
117,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-6000-base-in-cambodia-6617343?fr=21&src=16&srcr=16
118,https://www.jobstreet.com.sg/en/job/senior-associateassociate-avaloq-support-analyst-group-consumer-banking-and-big-data-analytics-technology-technology-1800033i-6617302?fr=21&src=16&srcr=16
119,https://www.jobstreet.com.sg/en/job/data-analystresearcher-up-to-55k-basictop-listed-it-mnc-permgd-enveast-6617138?fr=21&src=16&srcr=16.1
120,https://www.jobstreet.com.sg/en/job/intern-data-analyst-63258-6620023?fr=21&src=16&srcr=16.1
121,https://www.jobstreet.com.sg/en/job/business-n-data-analyst-procurement-6598411?fr=21&src=16&srcr=16.1
122,https://www.jobstreet.com.sg/en/job/data-analystscientist-008fs-6597804?fr=21&src=16&srcr=16.1
123,https://www.jobstreet.com.sg/en/job/manager-senior-data-analyst-data-governance-framework-policies-6597516?fr=21&src=16&srcr=16.1
124,https://www.jobstreet.com.sg/en/job/data-analyst-6586504?fr=21&src=16&srcr=16.1
125,https://www.jobstreet.com.sg/en/job/data-insights-analyst-6584954?fr=21&src=16&srcr=16.1
126,https://www.jobstreet.com.sg/en/job/master-data-analyst-salary-3500-mnc-ang-mo-kio-6618965?fr=21&src=16&srcr=16.1
127,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6618958?fr=21&src=16&srcr=16.1
128,https://www.jobstreet.com.sg/en/job/business-analyst-data-analytics-6618860?fr=21&src=16&srcr=16.1
129,https://www.jobstreet.com.sg/en/job/data-analyst-market-research-and-analytics-6583623?fr=21&src=16&srcr=16.1
130,https://www.jobstreet.com.sg/en/job/data-analyst-customer-relation2-months-contract-6581783?fr=21&src=16&srcr=16.1
131,https://www.jobstreet.com.sg/en/job/executivesenior-engineer-system-reliability-and-data-analyst-6581761?fr=21&src=16&srcr=16.1
132,https://www.jobstreet.com.sg/en/job/temp-data-analyst-4000-contract-6581737?fr=21&src=16&srcr=16.1
133,https://www.jobstreet.com.sg/en/job/data-base-analyst-up-to-4000-2-months-central-6581619?fr=21&src=16&srcr=16.1
134,https://www.jobstreet.com.sg/en/job/data-analyst-2-months-contract-4000-liang-court-6581539?fr=21&src=16&srcr=16.1
135,https://www.jobstreet.com.sg/en/job/data-analyst-finance-contract-6617547?fr=21&src=16&srcr=16.1
136,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-6000-base-in-cambodia-6617343?fr=21&src=16&srcr=16.1
137,https://www.jobstreet.com.sg/en/job/senior-associateassociate-avaloq-support-analyst-group-consumer-banking-and-big-data-analytics-technology-technology-1800033i-6617302?fr=21&src=16&srcr=16.1
